id,question_text,option_a,option_b,option_c,option_d,answer,difficulty,tags
1,"The ratio 5 : 4 expressed as a percent equals:","12.5%","40%","80%","125%","d","Very easy","Percentages"
2,"3.5 can be expressed in terms of percentage as:","0.35%","3.5%","35%","350%","d","Very easy","Percentages"
3,"Half of 1 percent written as a decimal is:","0.005","0.05","0.02","0.2","a","Very easy","Percentages"
4,"What is 15 percent of Rs. 34?","Rs. 3.40","Rs. 3.75","Rs. 4.50","Rs. 5.10","d","Very easy","Percentages"
5,"88% of 370 + 24% of 210 - ? = 118?","256","258","268","358","b","Very easy","Percentages"
6,"860% of 50 + 50% of 860 =?","430","516","860","960","c","Very easy","Percentages"
7,"45% of 750 - 25% of 480 =?","216","217.50","236.50","245","b","Very easy","Percentages"
8,"40% of 1640 + ? = 35% of 980 + 150% of 850","372","842","962","1052","c","Very easy","Percentages"
9,"60% of 264 is the same as:","10% of 44","15% of 1056","30% of 132","None of these","b","Very easy","Percentages"
10,"270 candidates appeared for an examination, of which 252 passed. The pass percentage is:","80%","83 1/2 %","90 1/3 %","93 1/3 %","d","Very easy","Percentages"
11,"What percent of 7.2 kg is 18 gms?",".025%","0.25%","2.5%","25%","b","Very easy","Percentages"
12,"0.01 is what percent of 0.1?","1/100","1/10","10","100","c","Very easy","Percentages"
13,"What percent of a day is 3 hours?","12 1/2 %","16 2/3 %","18 2/3 %","22 1/2 %","a","Very easy","Percentages"
14,"How many litres of pure acid are there in 8 litres of a 20% solution?","1.4","1.5","1.6","2.4","c","Very easy","Percentages"
15,"5% of (25% of Rs. 1600) is:","Rs. 5","Rs. 17.5","Rs. 20","Rs. 25","c","Very easy","Percentages"
16,"If x is 75% of y, y is what percent of x?","100","122.22","133.33","140","c","Easy","Percentages"
17,"A student multiplied a number by 4/5 instead of 5/4. What is the percentage error in the calculation?","30%","36%","42%","48%","b","Easy","Percentages"
18,"If ‘r’% of ‘r’ is 49, what is the value of ‘r’?","7","70","7.7","77","b","Easy","Percentages"
19,"If 25% of (A + B) = 80% of (A – B), A is what percentage of B?","161.91%","176.91%","184.91%","190.91%","d","Easy","Percentages"
20,"In a school 30% of the students play football and 50% of students play cricket. If 40% of the students play neither, what percentage of students play both?","10%","12%","14%","20%","d","Easy","Percentages"
21,"30 liters of water is added to a 120 liters mixture containing 40% of alcohol. What is the concentration of alcohol in the resultant mixture?","30%","31%","32%","33.33%","c","Easy","Percentages"
22,"If 25% of A is added to 50% of B, the resultant is 90% of B. What percentage of A is B?","32.5%","40%","50%","62.5%","d","Easy","Percentages"
23,"In 2020, 37.5% of the employees of a company paid income tax. If 450 employees did not pay tax, what is the total number of employees?","600","660","720","780","c","Easy","Percentages"
24,"If A is 50% more than C and B is 25% less than C, A is what percent more than B?","70%","80%","90%","100%","d","Easy","Percentages"
25,"If 70% of a number added to 90 gives the result as the number itself. What is the number?","300","360","420","480","a","Easy","Percentages"
26,"Sagar deposits 25% of his monthly salary in a bank. From the rest, he spends 40% on rent and a combined Rs. 15,000 on groceries. If he now has Rs. 12,000, what amount does he deposit in the bank?","Rs. 10,000","Rs. 15,000","Rs. 20,000","Rs. 25,000","b","Moderate","Percentages"
27,"Due to an increment of 20% in the price of eggs, 5 less eggs are available for Rs. 200. What is the new rate of a dozen eggs?","Rs. 60","Rs. 72","Rs. 80","Rs. 96","d","Moderate","Percentages"
28,"In an election between two candidates, 30% of the voters did not vote. The winner was supported by 40% of all voters on the list and got 900 votes more than his rival. What was the total number of voters on the list?","9000","10000","12000","12500","a","Moderate","Percentages"
29,"The combined income of a village increased by 50% and the per capita income increased by 20%. By what percentage did the population of the village increase?","10%","15%","20%","25%","d","Moderate","Percentages"
30,"When 80 is added to 80% of a number, the resultant is the number itself. Find 50% of that number.","200","210","220","240","a","Moderate","Percentages"
31,"Malini donated 25% of her income to a charity and deposited 40% of the rest in a bank. If she is left with Rs. 10,800, what is her income?","Rs. 20,000","Rs. 24,000","Rs. 25,000","Rs. 27,000","b","Moderate","Percentages"
32,"In an exam, the marks scored by A are 40% more than B, who scored 25% less than C. If C scores 250 out of 500, what is the percentage of marks obtained by A?","47.5%","50%","52.5%","57.5%","c","Moderate","Percentages"
33,"A worker’s hourly wages increased by 20% and his weekly working hours reduced by 10%. If he was getting Rs. 1200 per week previously, what are his weekly wages now?","Rs. 1,296","Rs. 1,331","Rs. 1,444","Rs. 1,600","a","Moderate","Percentages"
34,"A person spent 50% of his monthly income on household expenses and 40% of the remaining on rent. If the remaining amount is Rs. 4800, find his annual income.","Rs. 16,000","Rs. 1,72,000","Rs. 1,92,000","Rs. 1,85,000","c","Moderate","Percentages"
35,"The price of an article is reduced by 25% but the daily sale of the article is increased by 30%. Find the net effect on the daily sale receipts.","2.5% increase","2.5% decrease","2% increase","2% decrease","b","Moderate","Percentages"
36,"The population of a town was 1,60,000 three years ago. If it increased by 3%, 2.5% and 5% respectively in the last three years, then the present population is:","1,77,000","1,77,366","1,77,461","1,77,596","b","Moderate","Percentages"
37,"In an examination, 35% of the students passed and 455 failed. How many students appeared for the examination?","490","700","845","1300","b","Easy","Percentages"
38,"A's salary is 40% of B's salary which is 25% of C's salary. What percentage of C's salary is A's salary?","5%","10%","15%","20%","b","Moderate","Percentages"
39,"If the price of a book is first decreased by 25% and then increased by 20%, then the net change in the price will be:","No change","5% increase","5% decrease","10% decrease","d","Moderate","Percentages"
40,"In a class, 60% of the students pass in Hindi and 45% pass in Sanskrit. If 25% of them pass in both subjects, what percentage of the students fail in both the subjects?","80%","75%","20%","25%","c","Moderate","Percentages"
41,"The price of sugar is increased by 20%. By what percent must a housewife reduce her consumption to have no extra expenditure?","15%","16.67%","17.5%","18%","b","Moderate","Percentages"
42,"The population of a town is 384,000 and the number of females is 40% more than the number of males. Find the total number of children if 40% of males and 50% of females are adults.","1,96,000","2,08,000","2,12,000","2,16,000","b","Difficult","Percentages"
43,"A salesman's commission rate changed from 10% of total sales to a fixed salary of Rs. 30,000 plus 4% commission on sales exceeding Rs. 1 lakh. If his new remuneration is Rs. 5,000 more than the old one, what was his monthly sales?","Rs. 3,50,000","Rs. 2,90,000","Rs. 3,60,000","Rs. 3,75,000","a","Difficult","Percentages"
44,"A student scored 60% in Mathematics and 80% in Science. He falsely increased his marks by 10% in Maths and 5% in Science, and also increased the max marks by 40% for Maths and by ‘Y’% for Science. If the original overall percentage was 40% more than the adjusted one, find Y.","60%","50%","75%","62.5%","a","Difficult","Percentages"
45,"In a school, 62.5% of students below 10 years are in the music club (40% attend regularly). Among students 10 years or older, 30% are in the music club (25% attend regularly). If 174 students attend regularly, how many students are 10 years or older out of a total of 1200?","560","720","600","840","b","Difficult","Percentages"
46,"The number of workers in a factory is 800 more than supervisors. 8% of supervisors and 6% of workers are selected for training. If the number of supervisors selected is 24 less than workers selected, how many supervisors are selected?","72","108","96","84","c","Difficult","Percentages"
4s,"A store has three products, X, Y and Z, with production costs in the ratio 8:5:7. The store sells them with profits of 25%, 22%, and 20% respectively. What is the total percentage profit from all three products?","22.5%","20.5%","21.33%","24.33%","a","Difficult","Percentages"
48,"A group of investors make a 50% profit each year and reinvest 80% of the total revenue. If the revenue at the end of year 3 was Rs. 75,600, what was the bonus distributed at the end of year 2?","Rs. 12,600","Rs. 14,300","Rs. 11,600","Rs. 13,200","a","Difficult","Percentages"
49,"In a college election, the number of people who did not vote is 6 times the winner's victory margin of 84 votes. 25% of cast votes were invalid. The winner got 39% of the cast votes. What was the total number of voters on the list?","3280","3350","3416","3304","d","Difficult","Percentages"
50,"A teacher distributes chocolates. Each student gets 4 more than the total number of students. If they get 2 less than the total students, the teacher distributes 25% fewer chocolates. By what percent should the total chocolates be increased so each gets 8 more than the number of students?","12.5%","16.67%","8.33%","15%","b","Difficult","Percentages"