id,question,a,b,c,d,answer,difficulty
1,"In a certain code, COMPUTER is written as RFUVQNPC. How is MEDICINE written in that code?",EOJDEJDO,EOJDJEDO,NFEJDJOF,NFEDJJOF,c,moderate
2,"If all cats are dogs and some dogs are birds, which conclusion is definitely true?",All cats are birds,Some cats are birds,No cats are birds,Some birds are cats,b,easy
3,"Find the odd one out: 2, 5, 10, 17, 26, 37",2,10,26,37,b,moderate
4,"A is taller than B, B is taller than C, C is taller than D. Who is the shortest?",A,B,C,D,d,very easy
5,"Complete the series: 1, 4, 9, 16, ?, 36",20,22,25,30,c,easy
6,"If FRIEND is coded as GSJFOE, then MOTHER is coded as:",NPUIFS,NPUTIFS,NPUIFS,NPUTIFS,a,moderate
7,"Pointing to a man, Sarah said 'His mother is the only daughter of my mother'. How is the man related to Sarah?",Brother,Son,Father,Uncle,b,difficult
8,"In a row of 40 students, Ravi is 16th from the left. What is his position from the right?",24th,25th,26th,27th,b,easy
9,"Find the missing number: 3, 7, 15, 31, ?, 127",47,55,63,71,c,moderate
10,"If yesterday was Wednesday, what day will it be after 100 days from today?",Monday,Tuesday,Wednesday,Thursday,a,difficult